,FundingRate,LongPct,LongShortRatio,ShortPct,etf_flow_proxy,FundingRate_EMA3,FundingRate_Pct90d
2023-06-08,4.139208333333333e-05,,,,4071900.0,4.140082442654057e-05,0.2347993827160494
2023-06-09,6.302666666666667e-05,,,,4424400.0,6.285572527860548e-05,0.43117283950617286
2023-06-10,4.9909999999999995e-05,,,,4424400.0,5.0147173319849886e-05,0.31496913580246916
2023-06-11,4.4991666666666665e-05,,,,4424400.0,4.4130883152912454e-05,0.348533950617284
2023-06-12,5.0930416666666666e-05,,,,3662100.0,5.188651865671375e-05,0.3107253086419753
2023-06-13,7.561e-05,,,,2847800.0,7.440913409676762e-05,0.6536265432098766
2023-06-14,2.9383333333333334e-05,,,,4082800.0,3.0568538164792504e-05,0.17191358024691358
2023-06-15,3.205e-05,,,,9002500.0,3.078849091106384e-05,0.44830246913580246
2023-06-16,1.6626666666666664e-05,,,,13244200.0,1.9312811943302012e-05,0.19290123456790123
2023-06-17,9.137e-05,,,,13244200.0,8.832232611476751e-05,0.8700617283950618
2023-06-18,6.214666666666667e-05,,,,13244200.0,6.249737298557119e-05,0.6319444444444444
2023-06-19,5.7090000000000004e-05,,,,13244200.0,5.834429828841724e-05,0.5594135802469136
2023-06-20,4.075e-06,,,,14810600.0,6.695465144026178e-06,0.1670524691358025
2023-06-21,6.282e-05,,,,20063300.0,6.066642794663997e-05,0.5993827160493826
2023-06-22,9.745333333333334e-05,,,,10033300.0,9.467877360841701e-05,0.8996913580246914
2023-06-23,0.0001,,,,30436300.0,9.968290999087336e-05,0.9046296296296297
2023-06-24,0.0001,,,,30436300.0,9.999999998109996e-05,0.8691358024691359
2023-06-25,0.0001,,,,30436300.0,9.999999999999999e-05,0.8305555555555556
2023-06-26,0.0001,,,,10123900.0,9.999999999999999e-05,0.7861111111111111
2023-06-27,0.0001,,,,13825200.0,9.999999999999999e-05,0.7416666666666667
2023-06-28,7.966666666666667e-05,,,,8890600.0,8.190983931223551e-05,0.4317901234567901
2023-06-29,8.624666666666668e-05,,,,6181900.0,8.400465072407361e-05,0.46280864197530863
2023-06-30,0.0001,,,,25569400.0,9.999884329709315e-05,0.6824074074074074
2023-07-01,0.0001,,,,25569400.0,9.999999999993105e-05,0.637962962962963
2023-07-02,0.0001,,,,25569400.0,9.999999999999999e-05,0.5975308641975309
2023-07-03,0.0001,,,,7649900.0,9.999999999999999e-05,0.5768518518518518
2023-07-04,0.0001,,,,7649900.0,9.999999999999999e-05,0.5622685185185186
2023-07-05,0.0001,,,,6365100.0,9.999999999999999e-05,0.5611111111111111
2023-07-06,6.404e-05,,,,7977400.0,6.757484878540039e-05,0.21358024691358024
2023-07-07,1.4203333333333333e-05,,,,7400100.0,1.5101399178843624e-05,0.02993827160493827
2023-07-08,2.6913333333333335e-05,,,,7400100.0,2.5943040233412334e-05,0.09907407407407408
2023-07-09,6.227e-05,,,,7400100.0,6.040921507848542e-05,0.27638888888888885
2023-07-10,1.8876666666666665e-05,,,,6047700.0,2.0190605352648005e-05,0.14845679012345678
