date,Tx_Fees_USD,Hash_Rate_THs,Network_Difficulty,Hash_Rate_14d_MA,Tx_Fees_Spike_Zscore
2025-03-26,851926.7443042396,859547298.1781431,113757508810854.0,823407684.9635524,1.2891389006999148
2025-03-27,461729.40509742993,836927632.4366131,113757508810854.0,819872362.0912453,-0.635904776010841
2025-03-28,529161.47836341,870857131.0489082,113757508810854.0,825530195.9459761,-0.30090931559964906
2025-03-29,350287.35340745986,797343217.3889353,113757508810854.0,829919166.0336599,-1.163958241459018
2025-03-30,261504.28773605992,774723551.6474054,113757508810854.0,827515676.6256838,-1.5580070282318
2025-03-31,406290.01634412986,836927632.4366131,113757508810854.0,831546400.8784122,-0.8438546227870751
2025-04-01,367011.18618516,763413718.7766403,113757508810854.0,829529705.285124,-1.0255935072599305
2025-04-02,382633.7662005602,972645626.8857933,113757508810854.14,838476015.9195384,-0.9376773583874883
2025-04-03,487364.28589320986,859547298.1781431,113757508810854.0,843326004.5692145,-0.4293626013432534
2025-04-04,463514.2218520199,1017884958.3688537,113757508810854.22,858291187.0699133,-0.5362231302550619
2025-04-05,361658.42975653004,948981343.907835,116403947359503.08,866343617.7904923,-1.0054747125237438
2025-04-06,355198.7232433498,875826848.0097468,121507793131898.0,866290424.0846096,-1.014584592563009
2025-04-07,518452.2283551499,875826848.0097468,121507793131898.0,866645403.8675267,-0.23155854774136483
2025-04-08,623524.52931031,924148329.2792498,121507793131897.94,872471531.0394734,0.27383526768609096
2025-04-09,440580.4587331202,791264255.7881161,121507793131898.0,867594170.8687571,-0.5842836219581005
2025-04-10,428405.2023800301,869786662.851059,121507793131898.0,869941244.4697889,-0.6295242977224891
2025-04-11,633568.68922859,893947403.4858105,121507793131898.0,871590549.6438534,0.3396628108659426
2025-04-12,454913.67911211,869786662.851059,121507793131898.0,876765081.4625766,-0.5089844944878742
2025-04-13,366458.4073795598,1038911847.2943201,121507793131897.72,895635674.0087847,-0.909267825804035
2025-04-14,535902.4262657699,899987588.6444983,121507793131897.98,900139956.5950623,-0.09936033192484667
2025-04-15,490833.9115476801,869786662.851059,121507793131898.0,907738024.0289494,-0.30144979874346195
2025-04-16,492491.20985720976,893947403.4858105,121507793131898.0,902116722.3575219,-0.2819085597635907
2025-04-17,507930.75468961993,924148329.2792498,121507793131897.94,906731081.7218868,-0.18933496603555292
2025-04-18,447488.75117253023,821465181.5815556,121507793131898.0,892701097.6656511,-0.473364650115144
2025-04-19,542196.8055323699,847396221.1293446,122638153785919.48,885445017.4671875,-0.004458553720447405
