date,unconfirmed_count,mempool_size,avg_block_size,BTC_DVOL_Open,BTC_DVOL_Close
2025-07-02 00:00:00,365948.0,,1.3721758169934641,37.61,39.6
2025-07-02 00:30:00,,3508616.5,,,
2025-07-02 06:15:00,,1560433.5,,,
2025-07-02 12:00:00,,1556531.5,,,
2025-07-02 17:45:00,,2035518.0,,,
2025-07-02 23:30:00,,497401.5,,,
2025-07-03 00:00:00,360871.0,,1.4948868476821198,39.6,39.08
2025-07-03 05:15:00,,7454712.5,,,
2025-07-03 11:00:00,,2989559.5,,,
2025-07-03 16:45:00,,2478982.0,,,
2025-07-03 22:30:00,,3007915.0,,,
2025-07-04 00:00:00,366706.0,,1.2749897798742136,39.08,39.21
2025-07-04 04:15:00,,544678.0,,,
2025-07-04 10:00:00,,1266044.5,,,
2025-07-04 15:45:00,,237308.0,,,
2025-07-04 21:30:00,,530432.0,,,
2025-07-05 00:00:00,427319.0,,1.3059606496815293,39.21,38.54
2025-07-05 03:15:00,,823081.0,,,
2025-07-05 09:00:00,,1769625.0,,,
2025-07-05 14:45:00,,6149458.5,,,
2025-07-05 20:30:00,,4640163.0,,,
2025-07-06 00:00:00,506259.0,,1.5143049562499993,38.54,38.98
2025-07-06 02:15:00,,4220487.0,,,
2025-07-06 08:00:00,,6679121.5,,,
2025-07-06 13:45:00,,1038253.0,,,
2025-07-06 19:30:00,,1042071.5,,,
2025-07-07 00:00:00,360185.0,,1.2630317350993379,38.98,38.71
2025-07-07 01:15:00,,223077.5,,,
2025-07-07 07:00:00,,425347.0,,,
2025-07-07 12:45:00,,1080021.5,,,
2025-07-07 18:30:00,,5435170.5,,,
2025-07-08 00:00:00,354570.0,,1.4735598521126756,38.71,37.77
2025-07-08 00:15:00,,9448071.5,,,
2025-07-08 06:00:00,,1254413.5,,,
2025-07-08 11:45:00,,478022.5,,,
2025-07-08 17:30:00,,2754002.5,,,
2025-07-08 23:15:00,,2099762.0,,,
2025-07-09 00:00:00,444539.0,,1.4577289695121955,37.77,38.77
2025-07-09 05:00:00,,641787.0,,,
2025-07-09 10:45:00,,2375607.5,,,
2025-07-09 16:30:00,,5699107.5,,,
2025-07-09 22:15:00,,1155695.5,,,
2025-07-10 00:00:00,446359.0,,1.4485132923976607,38.77,38.62
2025-07-10 04:00:00,,605649.0,,,
2025-07-10 09:45:00,,2309713.0,,,
2025-07-10 15:30:00,,1444110.0,,,
2025-07-10 21:15:00,,1338312.0,,,
2025-07-11 00:00:00,408533.0,,1.5242565666666668,38.62,37.94
2025-07-11 03:00:00,,261787.5,,,
2025-07-11 08:45:00,,2068239.5,,,
2025-07-11 14:30:00,,7349009.5,,,
2025-07-11 20:15:00,,599139.5,,,
2025-07-12 00:00:00,395585.0,,1.484081067114094,37.94,38.2
2025-07-12 02:00:00,,421124.5,,,
2025-07-12 07:45:00,,864648.5,,,
2025-07-12 13:30:00,,4931539.5,,,
2025-07-12 19:15:00,,4201629.0,,,
2025-07-13 00:00:00,399610.0,,1.4544767299270074,38.2,39.24
2025-07-13 01:00:00,,444506.0,,,
2025-07-13 06:45:00,,4810830.5,,,
2025-07-13 12:30:00,,1040703.5,,,
2025-07-13 18:15:00,,254088.5,,,
2025-07-14 00:00:00,457151.0,5858718.0,1.5741457931034482,39.24,39.64
2025-07-14 05:45:00,,1510323.5,,,
2025-07-14 11:30:00,,4066447.5,,,
2025-07-14 17:15:00,,3860450.0,,,
2025-07-14 23:00:00,,694101.5,,,
2025-07-15 00:00:00,418526.0,,1.4018699512195123,39.64,39.93
2025-07-15 04:45:00,,2127774.0,,,
2025-07-15 10:30:00,,370574.0,,,
2025-07-15 16:15:00,,3842587.0,,,
2025-07-15 22:00:00,,2026599.5,,,
2025-07-16 00:00:00,398996.0,,1.4413609541984735,39.93,39.07
2025-07-16 03:45:00,,175380.0,,,
2025-07-16 09:30:00,,1960186.5,,,
2025-07-16 15:15:00,,1100746.5,,,
2025-07-16 21:00:00,,7465314.5,,,
2025-07-17 00:00:00,433635.0,,1.5271593161764705,39.07,39.47
2025-07-17 02:45:00,,8864489.5,,,
2025-07-17 08:30:00,,639054.0,,,
2025-07-17 14:15:00,,3430811.5,,,
2025-07-17 20:00:00,,5161648.5,,,
2025-07-18 00:00:00,451933.0,,1.5629208194444435,39.47,38.6
2025-07-18 01:45:00,,1494076.5,,,
2025-07-18 07:30:00,,1937313.5,,,
2025-07-18 13:15:00,,351039.0,,,
2025-07-18 19:00:00,,1782293.0,,,
2025-07-19 00:00:00,425882.0,,1.4803667676056347,38.6,38.85
2025-07-19 00:45:00,,780033.5,,,
2025-07-19 06:30:00,,264776.0,,,
2025-07-19 12:15:00,,2681761.0,,,
2025-07-19 18:00:00,,5005457.5,,,
2025-07-19 23:45:00,,2570914.5,,,
2025-07-20 00:00:00,414741.0,,1.402411248322149,38.85,39.23
2025-07-20 05:30:00,,262245.5,,,
2025-07-20 11:15:00,,342281.5,,,
2025-07-20 17:00:00,,6248020.0,,,
2025-07-20 22:45:00,,331997.5,,,
2025-07-21 00:00:00,384225.0,,1.4526397866666667,39.23,39.28
2025-07-21 04:30:00,,257430.5,,,
2025-07-21 10:15:00,,1131879.0,,,
2025-07-21 16:00:00,,5789362.0,,,
2025-07-21 21:45:00,,1049542.5,,,
2025-07-22 00:00:00,421514.0,,1.4962275666666662,39.28,39.88
2025-07-22 03:30:00,,414186.0,,,
2025-07-22 09:15:00,,397365.0,,,
2025-07-22 15:00:00,,4330009.5,,,
2025-07-22 20:45:00,,6618736.5,,,
2025-07-23 00:00:00,366601.0,,1.5647273357142857,39.88,39.58
2025-07-23 02:30:00,,4370457.0,,,
2025-07-23 08:15:00,,1306352.0,,,
2025-07-23 14:00:00,,684079.5,,,
2025-07-23 19:45:00,,4969700.0,,,
2025-07-24 00:00:00,409544.0,,1.4783350680272112,39.58,40.22
2025-07-24 01:30:00,,170456.0,,,
2025-07-24 07:15:00,,1076860.0,,,
2025-07-24 13:00:00,,1729347.5,,,
2025-07-24 18:45:00,,9784775.5,,,
2025-07-25 00:00:00,427715.0,,1.6376127750000002,40.22,40.06
2025-07-25 00:30:00,,1599746.5,,,
2025-07-25 06:15:00,,488977.0,,,
2025-07-25 12:00:00,,1626832.0,,,
2025-07-25 17:45:00,,3382371.0,,,
2025-07-25 23:30:00,,636881.0,,,
2025-07-26 00:00:00,573106.0,,1.6977269738562095,40.06,38.95
2025-07-26 05:15:00,,4310454.0,,,
2025-07-26 11:00:00,,2380617.5,,,
2025-07-26 16:45:00,,1062196.5,,,
2025-07-26 22:30:00,,906866.0,,,
2025-07-27 00:00:00,472715.0,,1.6615273576642338,38.95,39.37
2025-07-27 04:15:00,,399612.5,,,
2025-07-27 10:00:00,,2044415.0,,,
2025-07-27 15:45:00,,404313.5,,,
2025-07-27 21:30:00,,1712337.5,,,
2025-07-28 00:00:00,502058.0,,1.6352495103448272,39.37,38.27
2025-07-28 03:15:00,,243966.0,,,
2025-07-28 09:00:00,,2307310.5,,,
2025-07-28 14:45:00,,2427079.5,,,
2025-07-28 20:30:00,,5570273.0,,,
2025-07-29 00:00:00,350750.0,,1.627100026785714,38.27,35.18
2025-07-29 02:15:00,,3283695.0,,,
2025-07-29 08:00:00,,3663648.0,,,
2025-07-29 13:45:00,,2103458.0,,,
2025-07-29 19:30:00,,3831705.0,,,
2025-07-30 00:00:00,423150.0,,1.5973911532846723,35.18,36.13
2025-07-30 01:15:00,,1014681.0,,,
2025-07-30 07:00:00,,2360095.0,,,
2025-07-30 12:45:00,,2615072.0,,,
2025-07-30 18:30:00,,2059623.5,,,
2025-07-31 00:00:00,485020.0,,1.620939720779221,36.13,36.73
2025-07-31 00:15:00,,2341599.5,,,
2025-07-31 06:00:00,,782561.5,,,
2025-07-31 11:45:00,,285424.0,,,
2025-07-31 17:30:00,,2239908.5,,,
2025-07-31 23:15:00,,839574.5,,,
2025-08-01 00:00:00,400198.0,,1.785556947019868,36.73,38.42
2025-08-01 05:00:00,,1923837.0,,,
2025-08-01 10:45:00,,2100140.5,,,
2025-08-01 16:30:00,,3306571.0,,,
2025-08-01 22:15:00,,2232429.5,,,
2025-08-02 00:00:00,309570.0,,2.2027598413793092,38.42,37.67
2025-08-02 04:00:00,,3730056.5,,,
2025-08-02 09:45:00,,2642341.0,,,
2025-08-02 15:30:00,,5681995.0,,,
2025-08-02 21:15:00,,23257911.0,,,
2025-08-03 00:00:00,283307.0,,2.0265893999999993,37.67,38.03
2025-08-03 03:00:00,,8423094.0,,,
2025-08-03 08:45:00,,1248985.0,,,
2025-08-03 14:30:00,,944067.0,,,
2025-08-03 20:15:00,,254967.0,,,
2025-08-04 00:00:00,443117.0,,1.5556630175438593,38.03,36.89
2025-08-04 02:00:00,,285778.0,,,
2025-08-04 07:45:00,,1123680.0,,,
2025-08-04 13:30:00,,1428019.5,,,
2025-08-04 19:15:00,,570863.0,,,
2025-08-05 00:00:00,411212.0,,1.6629389782608694,36.32,36.01
2025-08-05 01:00:00,,625809.0,,,
2025-08-05 06:45:00,,2932354.5,,,
2025-08-05 12:30:00,,939376.0,,,
2025-08-05 18:15:00,,537564.0,,,
2025-08-06 00:00:00,495904.0,401449.0,1.514203520833333,36.01,34.88
2025-08-06 05:45:00,,351753.0,,,
2025-08-06 11:30:00,,2029125.0,,,
2025-08-06 17:15:00,,5138701.0,,,
2025-08-06 23:00:00,,6442532.5,,,
2025-08-07 00:00:00,565015.0,,1.6189676583850936,34.88,35.66
2025-08-07 04:45:00,,3985659.0,,,
2025-08-07 10:30:00,,3284099.0,,,
2025-08-07 16:15:00,,2478492.5,,,
2025-08-07 22:00:00,,1535689.5,,,
2025-08-08 00:00:00,474587.0,,1.5396454379562043,35.66,34.4
2025-08-08 03:45:00,,760665.5,,,
2025-08-08 09:30:00,,3485069.0,,,
2025-08-08 15:15:00,,5634060.0,,,
2025-08-08 21:00:00,,5569760.5,,,
2025-08-09 00:00:00,375957.0,,1.6077733534482759,34.4,35.07
2025-08-09 02:45:00,,1847479.5,,,
2025-08-09 08:30:00,,4672496.5,,,
2025-08-09 14:15:00,,3327373.0,,,
2025-08-09 20:00:00,,3325069.5,,,
2025-08-10 00:00:00,400303.0,,1.6829896370370365,35.07,35.43
2025-08-10 01:45:00,,1266268.5,,,
2025-08-10 07:30:00,,1549708.0,,,
2025-08-10 13:15:00,,376594.5,,,
2025-08-10 19:00:00,,1559809.5,,,
2025-08-11 00:00:00,449427.0,,1.6608353741496606,35.43,36.56
2025-08-11 00:45:00,,844513.5,,,
2025-08-11 06:30:00,,234659.0,,,
2025-08-11 12:15:00,,4173199.5,,,
2025-08-11 18:00:00,,1198183.5,,,
2025-08-11 23:45:00,,1918879.0,,,
2025-08-12 00:00:00,366870.0,,1.5707825766423353,36.56,36.94
2025-08-12 05:30:00,,190306.0,,,
2025-08-12 11:15:00,,2055926.5,,,
2025-08-12 17:00:00,,2970613.5,,,
2025-08-12 22:45:00,,357362.5,,,
2025-08-13 00:00:00,440901.0,,1.5581197307692303,37.41,39.0
2025-08-13 04:30:00,,1440151.0,,,
2025-08-13 10:15:00,,241109.0,,,
2025-08-13 16:00:00,,3349719.0,,,
2025-08-13 21:45:00,,1647992.5,,,
2025-08-14 00:00:00,483882.0,,1.5879334382716048,39.0,36.95
2025-08-14 03:30:00,,1314719.0,,,
2025-08-14 09:15:00,,727469.0,,,
2025-08-14 15:00:00,,2349717.5,,,
2025-08-14 20:45:00,,4507926.5,,,
2025-08-15 00:00:00,430205.0,,1.5938138432835822,36.95,35.37
2025-08-15 02:30:00,,1894480.0,,,
2025-08-15 08:15:00,,442753.5,,,
2025-08-15 14:00:00,,3586880.5,,,
