timestamp,MVRV_V10,MVRV_Pct6m,ExchangeFlow_V10,OBV_Momentum,STH_SOPR,FearGreed_Normalized,Hashrate_7dMA,Hashrate_Chg30d,ActiveAddresses_7d,Puell_Multiple
2024-08-06,-0.6490842333922546,0.008101851851851851,-0.011910636429268633,-14994.764530629851,0.8679845191762264,0.17,618932874.1154372,0.006257449968081419,494749.4285714286,0.7076763251876823
2024-08-07,-0.7721755762060409,0.00625,-0.01589580953146934,-19998.151234798832,0.8550329683380629,0.29,618932874.1154372,0.006257449968081419,494749.4285714286,0.7133000872431903
2024-08-08,-0.0010427152462208359,0.08217592592592593,-0.01849226623282062,-23253.323080155766,0.9572571267454302,0.2,622956930.928718,-0.07182874499877245,494749.4285714286,0.7386575825847994
2024-08-09,-0.11756263624695074,0.05486111111111111,-0.020891961249469116,-26262.165350304917,0.9441278877140835,0.48,622956930.928718,-0.07182874499877245,497544.71428571426,0.7690240962826661
2024-08-10,-0.12246087229939338,0.056018518518518516,-0.023526023796652792,-29560.26938084443,0.9455298869570041,0.4,622956930.928718,-0.07182874499877245,497544.71428571426,0.7686206206188116
2024-08-11,-0.42026817303091896,0.02060185185185185,-0.026461405783338113,-33230.313660282874,0.9115264307004867,0.39,622956930.928718,-0.07182874499877245,497544.71428571426,0.7647784775508624
2024-08-12,-0.3584793850577095,0.026851851851851852,-0.02465388640796492,-30935.37854805682,0.9218425242474497,0.25,624792986.5369216,-0.08417699576717497,497544.71428571426,0.746407314226154
2024-08-13,-0.2131766127551292,0.04282407407407408,-0.023356838539162473,-29282.059453382157,0.9417384330782957,0.31,624792986.5369216,-0.08417699576717497,498460.85714285716,0.7569568006342466
2024-08-14,-0.48702287769631675,0.02013888888888889,-0.022466602598150243,-28133.51340464223,0.9130427738025076,0.3,624792986.5369216,-0.08417699576717497,498460.85714285716,0.760772570997915
2024-08-15,-0.6643073213003264,0.010185185185185186,-0.023315260172516183,-29158.68628995912,0.8965022208873872,0.29,624792986.5369216,-0.08417699576717497,498460.85714285716,0.7389615827601125
2024-08-16,-0.5007909838635,0.027314814814814816,-0.025280336920292596,-31568.060697229113,0.9186216847565946,0.27,626743995.8048414,-0.015215272434611293,498460.85714285716,0.7404125622904327
2024-08-17,-0.4329394757602087,0.038657407407407404,-0.026249646441566816,-32734.48604395124,0.9294717045926479,0.25,626743995.8048414,-0.015215272434611293,501755.0,0.7505108976508903
2024-08-18,-0.6087225395378599,0.014814814814814815,-0.02673187305312385,-33284.80195857235,0.9141224263724533,0.31,626743995.8048414,-0.015215272434611293,501755.0,0.7545627755536789
2024-08-19,-0.48339855897915623,0.03425925925925926,-0.02647237121899839,-32899.3903268578,0.9318728417960982,0.28,626743995.8048414,-0.015215272434611293,501755.0,0.7419337797602132
2024-08-20,-0.5713587355025966,0.02175925925925926,-0.025871713744890255,-32091.752298583975,0.9267842538620205,0.3,620811821.0437272,-0.007641409166641799,501755.0,0.7599127188319419
2024-08-21,-0.26445563992518956,0.07731481481481481,-0.025414899350841624,-31459.198987325886,0.961909619472777,0.26,620811821.0437272,-0.007641409166641799,508005.85714285716,0.7574354461516644
2024-08-22,-0.4094374829444229,0.058333333333333334,-0.024328717947289247,-30055.35625844286,0.9508490747663915,0.39,620811821.0437272,-0.007641409166641799,508005.85714285716,0.7668025998035628
2024-08-23,0.16279931700651343,0.17824074074074073,-0.022687815939165173,-27970.961894798093,1.0097788665562744,0.34,620811821.0437272,-0.007641409166641799,508005.85714285716,0.7807818523601591
2024-08-24,0.16978511596687193,0.18217592592592594,-0.02141891993135616,-26358.239686693065,1.0125378678510133,0.56,625470279.6822432,0.14287339634774687,508005.85714285716,0.8091041939697975
2024-08-25,0.1676385689888816,0.18680555555555556,-0.01991285195046617,-24453.45311031025,1.0144330751982178,0.54,625470279.6822432,0.14287339634774687,505003.28571428574,0.8091893902153253
2024-08-26,-0.09072690478461708,0.14050925925925925,-0.01824084711789674,-22351.97885105596,0.9933380424857411,0.55,625470279.6822432,0.14287339634774687,505003.28571428574,0.8032434072986262
2024-08-27,-0.7272888473155811,0.009027777777777777,-0.01765020090415276,-21581.77921062964,0.940253170669095,0.48,625470279.6822432,0.14287339634774687,505003.28571428574,0.7835758670476312
2024-08-28,-0.8237316362733448,0.004861111111111111,-0.01842295128484633,-22467.074598566163,0.9357067853566207,0.3,638410000.1599647,0.1396822149593906,505003.28571428574,0.7479643898372981
2024-08-29,-0.789486334647983,0.008796296296296297,-0.018622725928944886,-22659.428208215162,0.9422199592895119,0.29,638410000.1599647,0.1396822149593906,503156.4285714286,0.7526763993790283
2024-08-30,-0.8590016886703574,0.0060185185185185185,-0.018443779673894708,-22392.651689788327,0.9399158405968401,0.34,638410000.1599647,0.1396822149593906,503156.4285714286,0.7451922715628566
2024-08-31,-0.9119287624633585,0.004629629629629629,-0.018741976703198163,-22710.203643851914,0.938987045957242,0.29,638410000.1599647,0.1396822149593906,503156.4285714286,0.7446970483990782
2024-09-01,-1.2623186335044467,0.000462962962962963,-0.019583736802499353,-23678.962503470713,0.9140995010673248,0.26,636561250.6717588,0.022723373846082806,503156.4285714286,0.7338012495839895
